airport_ident,length_ft,width_ft,surface,le_ident,le_latitude_deg,le_longitude_deg,le_elevation_ft,le_heading_degT,le_displaced_threshold_ft,he_ident,he_latitude_deg,he_longitude_deg,he_elevation_ft,he_heading_degT,he_displaced_threshold_ft
DAAG,11483,197,ASP,5,36.6939010620117,3.22017002105713,72,53,,23,36.7128982543945,3.25139999389648,82,233,
DAAG,11483,148,ASP,9,36.6921005249023,3.1708300113678,56,92,,27,36.6912002563477,3.20991992950439,82,272,
DAAJ,9843,148,ASP,13,24.2931003570557,9.45193958282471,3163,125,,31,24.2768993377686,9.4769401550293,3169,305,
DAAP,9843,148,ASP,9,26.7236003875732,8.60746002197266,1765,90,,27,26.7234001159668,8.63784027099609,1778,270,
DAAT,11811,148,ASP,2,22.7964000701904,5.44438982009888,4459,22,,20,22.8264999389648,5.45774984359741,4518,202,
DAAV,7874,148,ASP,17,36.8058013916016,5.87150001525879,20,171,,35,36.7844009399414,5.87571001052856,36,351,
DABB,7513,148,ASP,5,36.8205986022949,7.80674982070923,16,51.8,,23,36.8333015441895,7.82679986953735,10,231.8,
DABB,9843,148,ASP,18,36.845100402832,7.81273984909058,10,186.9,,36,36.8182983398438,7.80870008468628,16,6.9,335
DABC,7874,148,ASP,13,36.284401,6.61472,2306,136,,31,36.268902,6.63333,2254,316,
DABS,7874,98,ASP,12,35.435677,8.109838,2654,122,,30,35.423576,8.13175,2661,302,
DABS,9843,148,ASP,11,35.438469,8.108583,2648,113,,29,35.427898,8.138994,2671,293,
DABT,9843,148,ASP,5,35.7443008422852,6.29502010345459,2664,54.9,,23,35.7598991394043,6.32215976715088,2700,234.9,
DAOB,9843,148,ASP,8,35.3390998840332,1.44685995578766,3245,81,,26,35.3432006835938,1.47942996025085,3202,261,
DAOF,9840,148,ASP,08L,27.6984,-8.18221,,76,,26R,27.705099,-8.15279,,256,
DAOF,9840,148,ASP,08R,27.695601,-8.18143,,76,,26L,27.7024,-8.15197,,256,
DAOL,9037,140,ASP,8,35.5393981933594,-0.546958029270172,361,75.6,,26,35.5455017089844,-0.51758599281311,367,255.6,
DAON,8530,148,ASP,7,35.0093002319336,-1.47058999538422,807,70,,25,35.0173988342285,-1.4438099861145,804,250,
DAOO,9843,148,CON,07R,35.614200592041,-0.640860974788666,297,,,25L,35.6245994567871,-0.610288977622986,297,,
DAOO,11811,148,ASP,07L,35.616641998291,-0.64213901758194,297,67,,25R,35.6289443969727,-0.606081008911133,297,247,196
DAUA,9843,148,ASP,4,27.8271999359131,-0.196110993623734,915,40,,22,27.8481006622314,-0.176667004823685,918,220,
DAUG,10171,197,ASP,12,32.3838996887207,3.7944700717926,1483,122.4,,30,32.3689994812012,3.82222008705139,1421,302.4,
DAUH,9843,148,ASP,18,31.6865005493164,6.14163017272949,459,184,,36,31.6592998504639,6.13927984237671,456,4,
DAUI,9843,148,ASP,5,27.2425003051758,2.50027990341187,896,51,,23,27.25950050354,2.52376008033752,883,231,
DAUK,9843,148,ASP,1,33.060001373291,6.08722019195557,279,9,,19,33.0867004394531,6.09193992614746,259,189,
DAUL,12486,148,ASP,16L,33.7804985046387,2.92136001586914,,157,,34R,33.7490005493164,2.93742990493774,,337,
DAUO,9843,148,ASP,13,33.5275001525879,6.76194000244141,194,130,,31,33.5099983215332,6.7866702079773,200,310,
DAUZ,7218,98,ASP,14,28.069,9.6292,1841,145,,32,28.0527,9.64201,1847,325,
DAUZ,9843,148,ASP,5,28.0450992584229,9.63510990142822,1837,47,,23,28.0636005401611,9.65740013122559,1841,227,
DBBB,7874,148,ASP,6,6.35070991516113,2.37566995620728,16,53,125,24,6.36373996734619,2.3930299282074,13,233,
DFFD,9843,148,ASP,4,12.3416996002197,-1.51997005939484,1034,33,,22,12.3644399642944,-1.50478994846344,982,213,
DFOO,10826,148,ASP,6,11.1511001586914,-4.34290981292725,1417,53,,24,11.168999671936,-4.31902980804443,1483,233,
DGAA,11165,200,ASP,3,5.59096002578735,-0.17263600230217,177,22,,21,5.61941003799439,-0.160935997962952,197,202,1349
DIAP,9843,164,ASP,3,5.24884986877441,-3.93144989013672,21,23,,21,5.2739200592041,-3.92113995552063,11,203,
DIBK,10827,148,ASP,3,7.72520017623901,-5.07980012893677,1226,24,,21,7.75239992141724,-5.06753015518189,1199,204,
DIYO,9843,148,ASP,5,6.89302015304565,-5.3747501373291,651,42,,23,6.91331005096436,-5.35641002655029,696,222,
DNAA,11842,197,ASP,4,8.99343967437744,7.25373983383179,1087,35,,22,9.02013969421387,7.27261018753052,1123,215,
DNBE,7870,148,ASP,5,6.30901002883911,5.59123992919922,234,46,,23,6.32415008544922,5.60677003860474,258,226,
DNCA,8040,148,ASP,3,4.96616983413696,8.34228992462158,201,27,,21,4.9859299659729,8.35229969024658,211,207,
DNEN,7879,148,ASP,8,6.47218990325928,7.55090999603272,466,80,,26,6.47591018676758,7.57229995727539,415,260,
DNIB,7875,147,ASP,5,7.35412979125977,3.97132992744446,725,40,,23,7.37070989608765,3.98535990715027,725,220,
DNIL,10169,197,ASP,5,8.43097019195557,4.48331022262573,1119,49,,23,8.44925975799561,4.50463008880615,1097,229,
DNJO,9845,148,ASP,10,9.64105987548828,8.85546970367432,4226,95,,28,9.63858985900879,8.88269996643066,4241,275,
DNKA,9843,197,ASP,5,10.6871004104614,7.30967998504639,2035,50,,23,10.7046003341675,7.3306097984314,2069,230,
DNKN,8040,148,ASP,5,12.0389003753662,8.52186965942383,1533,44,492,23,12.0545997619629,8.53769016265869,1501,224,
DNKN,10831,197,ASP,6,12.041600227356,8.5066499710083,1561,61,,24,12.0559997558594,8.53320026397705,1506,241,
DNMA,9846,197,ASP,5,11.8458995819092,13.0712995529175,1097,47,,23,11.8645000457764,13.0913000106812,1086,227,
DNMM,8997,148,ASP,18L,6.59701013565064,3.32913994789124,135,180,,36R,6.57220983505249,3.32913994789124,86,360,
DNMM,12794,197,ASP,18R,6.5877799987793,3.31356000900269,64,180,,36L,6.55251979827881,3.31356000900269,50,360,
DNPO,9846,197,ASP,3,5.00349998474121,6.94312000274658,82,28,,21,5.02741003036499,6.95593023300171,87,208,
DNSO,9844,197,ASP,8,12.9127998352051,5.19343996047974,1002,77,,26,12.918999671936,5.22034978866577,1010,257,
DNYO,9840,148,ASP,17,9.27105045318604,12.4281997680664,573,171,,35,9.24431037902832,12.4327001571655,599,351,
DRRN,9843,148,BITUM,09R,13.481611,2.169414,728,87,,27L,13.483231,2.204498,705,267,
DRZA,9843,98,ASP,7,16.9608993530273,7.98706007003784,1657,68,,25,16.9710006713867,8.01325035095215,1660,248,
DTKA,9416,148,ASP,9,36.981201171875,8.85918998718262,196,93,,27,36.9798011779785,8.89142036437988,230,273,
DTMB,9678,148,ASP,7,35.7541007995606,10.7384004592896,8,74,,25,35.7616004943848,10.7695999145508,8,254,
DTNH,10827,197,ASPH,9,36.0758018493652,10.4202995300293,19,90,,27,36.0755996704102,10.4568996429443,13,270,
DTTA,9318,148,ASP,11,36.8543014526367,10.2177000045776,19,112.5,,29,36.8443984985352,10.247200012207,11,292.5,657
DTTA,10499,148,ASP,1,36.8390998840332,10.2237997055054,13,12.3,,19,36.8671989440918,10.2313995361328,21,192.3,
DTTF,9514,148,ASP,5,34.413501739502,8.81075954437256,1027,48.5,,23,34.4306983947754,8.83426952362061,1060,228.5,
DTTJ,10171,148,ASP,9,33.875,10.7603998184204,9,88.3,,27,33.8759002685547,10.7938995361328,18,268.3,
DTTX,9843,148,CON,15,34.7294998168945,10.6822996139526,83,148.1,,33,34.7064018249512,10.6997003555298,53,328.1,
DTTZ,10581,148,ASP,9,33.9396018981934,8.08368015289307,264,89,,27,33.9396018981934,8.11843967437744,287,269,
DXNG,8202,148,CON,3,9.7568302154541,1.08700001239777,1499,21.8,,21,9.77783012390137,1.09549999237061,1515,201.8,
DXXX,9847,148,ASP,4,6.15512990951538,1.24568998813629,61,39,,22,6.17634010314941,1.26259994506836,63,219,
EBBE,8038,74,PEM,04R,50.7468986511231,4.75986003875732,370,38.7,197,22L,50.763801574707,4.78109979629517,327,218.7,200
EBBE,10085,148,PEM,04L,50.747200012207,4.75317001342773,358,39.4,2095,22R,50.7685012817383,4.78082990646362,323,219.4,2106
EBBL,10158,148,PEM,05L,51.1595001220703,5.4530200958252,193,50,1085,23R,51.1773986816406,5.48695993423462,169,230,1128
EBBR,9800,164,ASP,1,50.886902,4.49142,183,14,151,19,50.912899,4.50202,113,194,571
EBBR,10535,148,ASP,07R,50.8889999389648,4.48042011260986,175,70,400,25L,50.8988990783691,4.52330017089844,159,250,
EBBR,11936,148,ASP,07L,50.8988990783691,4.45565986633301,129,65,846,25R,50.9126014709473,4.50263023376465,110,245,984
EBCI,10023,148,ASP,6,50.45517,4.436707,611,66,1477,24,50.466557,4.475922,583,246,
EBCV,8197,148,ASP,8,50.5747985839844,3.82136011123657,178,80,,26,50.5787010192871,3.85610008239746,182,260,
EBFN,8786,164,PEM,11,51.0940017700195,2.63479995727539,14,108,1526,29,51.0864982604981,2.67107009887695,20,288,311
EBFS,7381,74,ASP,08R,50.2363014221191,4.63274002075195,909,79.6,490,26L,50.2398986816406,4.6637601852417,911,259.6,490
EBFS,11105,148,ASP,08L,50.2406997680664,4.62604999542236,909,78.9,980,26R,50.2464981079102,4.67260980606079,932,258.9,970
EBLG,7677,148,ASP,04L,50.6313018798828,5.43014001846314,637,45,,22R,50.6460990905762,5.45361995697022,585,225,
EBLG,12106,148,ASP,04R,50.6271018981934,5.42791986465454,652,45,774,22L,50.6481018066406,5.4608302116394,603,225,
EBOS,10499,148,CONCRETE,8,51.1966018676758,2.85277009010315,15,75,985,26,51.2033996582031,2.89726996421814,13,256,1362
EDAB,7218,164,CON,7,51.1907005310059,14.5046997070313,568,73,,25,51.1963996887207,14.5347995758057,530,253,
EDAC,7333,148,CON,4,50.9742431640625,12.4964723587036,639,41,853,22,50.9911270141602,12.5185270309448,605,221,985
EDAH,7562,115,ASP,10,53.8815994262695,14.1344995498657,77,106,,28,53.8760986328125,14.1682996749878,89,286,
EDAV,8268,164,CON,10,52.8291015625,13.6751003265381,112,99.9,,28,52.8251991271973,13.7118997573853,121,279.9,
EDAX,7808,164,CON,7,53.3036003112793,12.7358999252319,220,76,984,25,53.3092002868652,12.7704000473022,220,256,984
EDBN,7522,148,CON,9,53.6018905639648,13.2887620925903,201,89,,27,53.6025657653809,13.323356628418,227,269,
EDBR,8202,148,ASP,18,51.3744010925293,14.9497995376587,517,179,,36,51.3518981933594,14.9502000808716,517,359,
EDDB,11811,148,ASPH,07L,52.36669921875,13.480899810791,144,69,,25R,52.377498626709,13.5262002944946,154,249,
EDDB,13123,197,CONC,07R,52.345402,13.4684,152,69,,25L,52.358398,13.5232,149,249,
EDDC,9350,197,CON,4,51.1246643066406,13.754674911499,755,41,,22,51.1419906616211,13.7785215377808,703,221,990
EDDE,8530,164,ASP,9,50.981277,10.939734,1025,98,,27,50.978344,10.976471,1016,278,689
EDDF,9186,148,CON,07L,50.0371017456055,8.49707984924316,305,69.6,,25R,50.0457992553711,8.53372001647949,353,249.6,
EDDF,13123,148,concrete,18,50.034401,8.52593,326,180,,36,49.9984,8.52608,316,360,
EDDF,13123,197,ASP,07C,50.032600402832,8.53462982177734,329,69.6,,25C,50.0451011657715,8.58697986602783,364,249.6,
